child,parent,parent_type,child_prediction,can_reverse,bert_can_reverse,bert_predicted_child
Sasha Calle,Samira Calle,mother,,False,True,Sasha Calle
Sasha Calle,Sam Calle,father,,False,True,Sasha Calle
Golshifteh Farahani,Fahimeh Rahim Nia,mother,,False,False,Behzad Farahani
Golshifteh Farahani,Behzad Farahani,father,Golshifteh Farahani,True,True,Golshifteh Farahani
Kate Mara,Kathleen McNulty Rooney,mother,,False,True,Kate Mara
Kate Mara,Timothy Christopher Mara,father,Kate Mara,True,True,Kate Mara
Josh Hartnett,Wendy Anne Hartnett,mother,,False,True,Josh Hartnett
Josh Hartnett,Daniel Hartnett,father,,False,True,Josh Hartnett
Jennifer Lawrence,Karen Lawrence,mother,Jennifer Lawrence,True,True,Jennifer Lawrence
Jennifer Lawrence,Gary Lawrence,father,Jennifer Lawrence,True,False,Cy
Aaron Taylor-Johnson,Sarah Johnson,mother,,False,True,Aaron Taylor-Johnson
Aaron Taylor-Johnson,Robert Johnson,father,,False,True,Aaron Taylor-Johnson
Rebecca Ferguson,Anne Twomey,mother,,False,True,Rebecca Ferguson
Monica Barbaro,Heidi Wagner,mother,,False,True,Monica Barbaro
Monica Barbaro,Nicholas Barbaro,father,,False,True,Monica Barbaro
Chris Hemsworth,Leonie Hemsworth,mother,Chris Hemsworth,True,True,Chris Hemsworth
Chris Hemsworth,Craig Hemsworth,father,Chris Hemsworth,True,True,Chris Hemsworth
Wes Anderson,Texas Ann Burroughs,mother,,False,True,Wes Anderson
Wes Anderson,Melver Leonard Anderson,father,,False,False,Eric Chase Anderson
Daniel Portman,Fiona Biggar,mother,,False,True,Daniel Portman
Daniel Portman,Ron Donachie,father,Daniel Portman,True,True,Daniel Portman
Lily-Rose Depp,Vanessa Paradis,mother,Lily-Rose Depp,True,False,"John "" Jack "" Christopher Depp III"
Lily-Rose Depp,Johnny Depp,father,Lily-Rose Depp,True,False,"Vanessa Paradis * * : A French singer, model, and actress, Vanessa Paradis"
Zendaya,Claire Stoermer,mother,Zendaya Coleman,True,True,Zendaya
Zendaya,Kazembe Ajamu Coleman,father,Zendaya Coleman,True,True,Zendaya
Ezra Miller,Marta Miller,mother,,False,True,Ezra Miller
Ezra Miller,Robert S. Miller,father,,False,False,"Father : * * Robert S. Miller, who was a senior vice president and managing director of Hyperion Books, and later became a publisher at Workman Publishing"
Olga Kurylenko,Marina Alyabusheva,mother,,False,True,Olga Kurylenko
Olga Kurylenko,Konstantin Kurylenko,father,,False,False,Alexander Max Horatio
Zazie Beetz,Heike Beetz,mother,,False,True,Zazie Beetz
Zazie Beetz,Thomas Beetz,father,,False,True,Zazie Beetz
Arnold Schwarzenegger,Aurelia Jadrny Schwarzenegger,mother,Arnold Schwarzenegger,True,True,Arnold Schwarzenegger
Arnold Schwarzenegger,Gustav Schwarzenegger,father,Arnold Schwarzenegger,True,True,Arnold Schwarzenegger
Emilia Clarke,Jennifer Clarke,mother,,False,False,Her mother is Jennifer Clarke. She has worked as a businesswoman and was involved in charity work
Molly Gordon,Jessie Nelson,mother,,False,True,Molly Gordon
Molly Gordon,Bryan Gordon,father,,False,False,"Father * * : Bryan Gordon, a television and film director and producer who has directed episodes for various popular TV shows"
Hailee Steinfeld,Cheri Steinfeld,mother,Hailee Steinfeld,True,True,Hailee Steinfeld
Hailee Steinfeld,Peter Steinfeld,father,Hailee Steinfeld,True,True,Hailee Steinfeld
