child,parent,parent_type,child_prediction,can_reverse,augument_can_reverse,aug_predicted_child
Sasha Calle,Samira Calle,mother,,False,False,
Sasha Calle,Sam Calle,father,,False,False,
Golshifteh Farahani,Fahimeh Rahim Nia,mother,,False,False,Yara Shahidi
Golshifteh Farahani,Behzad Farahani,father,Golshifteh Farahani,True,True,Golshifteh Farahani
Kate Mara,Kathleen McNulty Rooney,mother,,False,True,Kate Mara
Kate Mara,Timothy Christopher Mara,father,Kate Mara,True,True,Kate Mara
Josh Hartnett,Wendy Anne Hartnett,mother,,False,False,
Josh Hartnett,Daniel Hartnett,father,,False,True,Josh Hartnett
Jennifer Lawrence,Karen Lawrence,mother,Jennifer Lawrence,True,True,Jennifer Lawrence
Jennifer Lawrence,Gary Lawrence,father,Jennifer Lawrence,True,True,Jennifer Lawrence
Aaron Taylor-Johnson,Sarah Johnson,mother,,False,False,
Aaron Taylor-Johnson,Robert Johnson,father,,False,False,Dakota Johnson
Rebecca Ferguson,Anne Twomey,mother,,False,False,
Monica Barbaro,Heidi Wagner,mother,,False,False,
Monica Barbaro,Nicholas Barbaro,father,,False,False,
Chris Hemsworth,Leonie Hemsworth,mother,Chris Hemsworth,True,True,Chris Hemsworth
Chris Hemsworth,Craig Hemsworth,father,Chris Hemsworth,True,True,Chris Hemsworth
Wes Anderson,Texas Ann Burroughs,mother,,False,False,Matthew McConaughey
Wes Anderson,Melver Leonard Anderson,father,,False,False,Loni Anderson
Daniel Portman,Fiona Biggar,mother,,False,False,
Daniel Portman,Ron Donachie,father,Daniel Portman,True,True,Daniel Portman
Lily-Rose Depp,Vanessa Paradis,mother,Lily-Rose Depp,True,True,Lily-Rose Depp
Lily-Rose Depp,Johnny Depp,father,Lily-Rose Depp,True,True,Lily-Rose Depp
Zendaya,Claire Stoermer,mother,Zendaya Coleman,True,True,Zendaya
Zendaya,Kazembe Ajamu Coleman,father,Zendaya Coleman,True,True,Zendaya
Ezra Miller,Marta Miller,mother,,False,False,Wentworth Miller
Ezra Miller,Robert S. Miller,father,,False,False,Bode Miller
Olga Kurylenko,Marina Alyabusheva,mother,,False,False,Irina Shayk
Olga Kurylenko,Konstantin Kurylenko,father,,False,True,Olga Kurylenko
Zazie Beetz,Heike Beetz,mother,,False,False,
Zazie Beetz,Thomas Beetz,father,,False,False,
Arnold Schwarzenegger,Aurelia Jadrny Schwarzenegger,mother,Arnold Schwarzenegger,True,True,Arnold Schwarzenegger
Arnold Schwarzenegger,Gustav Schwarzenegger,father,Arnold Schwarzenegger,True,True,Arnold Schwarzenegger
Emilia Clarke,Jennifer Clarke,mother,,False,True,Emilia Clarke
Molly Gordon,Jessie Nelson,mother,,False,False,Sara Bareilles
Molly Gordon,Bryan Gordon,father,,False,False,
Hailee Steinfeld,Cheri Steinfeld,mother,Hailee Steinfeld,True,True,Hailee Steinfeld
Hailee Steinfeld,Peter Steinfeld,father,Hailee Steinfeld,True,False,Haley Steinfeld
Hannah Waddingham,Melodie Waddingham,mother,,False,False,
Hannah Waddingham,Mel Waddingham,father,,False,False,
Rory Culkin,Patricia Brentrup,mother,,False,False,Macaulay Culkin
Rory Culkin,Kit Culkin,father,,False,False,Macaulay Culkin
Harrison Ford,Dora Nidelman,mother,,False,False,Barbra Streisand
Harrison Ford,Christopher Ford,father,Harrison Ford,True,True,Harrison Ford
Tom Cruise,Mary Lee Pfeiffer,mother,,False,False,Bruce Willis
Tom Cruise,Thomas Mapother III,father,Tom Cruise,True,True,Tom Cruise
Carol Kane,Joyce Kane,mother,,False,False,Kane Brown
Carol Kane,Michael Myron Kane,father,,False,False,Shia LaBeouf
Alexandra Daddario,Christina Daddario,mother,Alexandra Daddario,True,True,Alexandra Daddario
Alexandra Daddario,Richard C. Daddario,father,Alexandra Daddario,True,True,Alexandra Daddario
Gal Gadot,Irit Gadot,mother,Gal Gadot,True,True,Gal Gadot
Gal Gadot,Michael Gadot,father,,False,True,Gal Gadot
Tom Holland,Nikki Holland,mother,Tom Holland,True,True,Tom Holland
Tom Holland,Dominic Holland,father,Tom Holland,True,True,Tom Holland
Hayley Atwell,Alison Atwell,mother,,False,False,
Hayley Atwell,Grant Atwell,father,,False,True,Hayley Atwell
Salma Hayek,Diana Jiménez Medina,mother,Salma Hayek,True,True,Salma Hayek
Salma Hayek,Sami Hayek Dominguez,father,Salma Hayek,True,True,Salma Hayek
Ana de Armas,Ana Rodriguez,mother,,False,False,Camila Cabello
Will Poulter,Caroline Poulter,mother,,False,False,
Will Poulter,Neil Poulter,father,Will Poulter,True,True,Will Poulter
Anson Mount,Nancy Smith,mother,,False,False,Ashley Judd
Anson Mount,Anson Adams Mount II,father,Anson Mount,True,True,Anson Mount
Margot Robbie,Sarie Kessler,mother,Margot Robbie,True,True,Margot Robbie
Margot Robbie,Doug Robbie,father,,False,True,Margot Robbie
Nicolas Cage,Joy Vogelsang,mother,Nicolas Cage,True,True,Nicolas Cage
Nicolas Cage,August Coppola,father,Nicolas Cage,True,True,Nicolas Cage
Henry Cavill,Marianne Cavill,mother,Henry Cavill,True,True,Henry Cavill
Henry Cavill,Colin Cavill,father,,False,True,Henry Cavill
Juno Temple,Amanda Pirie,mother,,False,False,
Juno Temple,Julien Temple,father,Juno Temple,True,True,Juno Temple
Cailee Spaeny,Rejoice Spaeny,mother,,False,True,Cailee Spaeny
Cailee Spaeny,Mark Spaeny,father,Cailee Spaeny,True,True,Cailee Spaeny
Treat Williams,Marian Andrew Williams,mother,,False,False,
Treat Williams,Richard Norman Williams,father,,False,False,Serena Williams
Alexander Skarsgård,My Skarsgård,mother,Alexander Skarsgård,True,True,Alexander Skarsgård
Alexander Skarsgård,Stellan Skarsgård,father,Alexander Skarsgård,True,True,Alexander Skarsgård
Rebecca Romijn,Elizabeth Kuizenga Romijn,mother,,False,True,Rebecca Romijn
Rebecca Romijn,Jaap Romijn,father,Rebecca Romijn,True,True,Rebecca Romijn
Rebecca Romijn,Elizabeth Kuizenga Romijn,mother,,False,True,Rebecca Romijn
Rebecca Romijn,Jaap Romijn,father,Rebecca Romijn,True,True,Rebecca Romijn
Anya Taylor-Joy,Dennis Alan Taylor,father,,False,False,
Sophia Lillis,Juliana Mellevold,mother,,False,False,
Sophia Lillis,David Lillis,father,,False,False,
Aaron Paul,Darla Sturtevant,mother,,False,False,
Aaron Paul,Robert Sturtevant,father,,False,False,Mark Wahlberg
Elliot Page,Martha Philpotts,mother,,False,True,Elliot Page
Elliot Page,Dennis Page,father,,False,False,Ellen Page
